Name	Age	Gender	Social Status	Notable Traits	Role	Occupation	First Appearance	Personality Traits	Notable Actions	Relationships	visual_characteristics	clothing_colors	AI_agent_name	book_name	entry_date
Claude Wheeler	23	Male	Middle class	Idealistic, introspective, conflicted	Main character	Farmer, soldier	Chapter 1	Thoughtful, earnest, sensitive	Joins the military during World War I, grapples with personal identity and relationships.	Engaged to Enid Royer, close to his family	Medium height, athletic build, expressive face	Plain clothes, simple suits, khaki military uniform	ChatGPT	One of Ours	2025-01-13
Enid Royer	20	Female	Upper middle class	Charming, superficial, materialistic	Supporting character	Young woman	Chapter 1	Charming, conventional	Claude’s fiancée, but their relationship feels strained due to differing views.	Fiancée of Claude Wheeler	Slender, pretty, blonde hair	Light-colored dresses, fashionable attire	ChatGPT	One of Ours	2025-01-13
Franklin Royer	50s	Male	Upper middle class	Authoritative, wealthy, self-assured	Minor character	Businessman	Chapter 1	Dominating, confident	Father of Enid Royer, often tries to control Claude’s decisions and future.	Father-in-law of Claude Wheeler	Tall, robust, stern features	Formal suits, dark colors	ChatGPT	One of Ours	2025-01-13
Rebecca Wheeler	50s	Female	Upper middle class	Domineering, practical	Minor character	Homemaker	Chapter 1	Supportive, emotionally distant	Supports the Wheeler family with pragmatic advice, but lacks emotional depth.	Mother of Enid Royer, mother-in-law to Claude	Tall, solid, aged features	Traditional dresses, conservative colors	ChatGPT	One of Ours	2025-01-13
Ike Blanchard	30s	Male	Working class	Boisterous, carefree, brave	Supporting character	Farmer, soldier	Chapter 3	Courageous, friendly	Joins the military with Claude and befriends him during the war.	Comrade in arms to Claude Wheeler	Medium build, scruffy beard	Plain clothing, military uniform	ChatGPT	One of Ours	2025-01-13
Mrs. Wheeler	40s	Female	Middle class	Quiet, religious, nurturing	Minor character	Homemaker	Chapter 1	Supportive, self-sacrificing	Supports her children and husband, but lives in the shadow of her husband's strong will.	Mother of Claude Wheeler	Slender, with soft features	Conservative dresses, dark colors	ChatGPT	One of Ours	2025-01-13
Jody Baxter	20s	Male	Middle class	Independent, adventurous, morally conflicted	Main character	Traveler, former soldier	Chapter 1	Restless, courageous, idealistic	Jody embarks on a journey of self-discovery, often seeking purpose and meaning in life.	No significant relationships, lonely traveler	Lean, rugged build, weathered face	Worn-out clothes, rough-hewn shirt, tan trousers	ChatGPT	Honey in the Horn	2025-01-13
Honey	20s	Female	Lower class	Beautiful, kind-hearted, emotionally complex	Supporting character	Housewife, mother	Chapter 2	Compassionate, loving, naive	Jody becomes romantically involved with Honey, struggling with his feelings for her.	Wife of Jody, mother of his child	Attractive, dark hair, soft features	Plain dress, simple colors, muted tones	ChatGPT	Honey in the Horn	2025-01-13
Williamson	40s	Male	Upper class	Wealthy, imposing, authoritative	Minor character	Landowner, businessman	Chapter 3	Cold, ambitious, manipulative	Acts as a foil to Jody, showing the disparity between the wealthy and the working class.	Wealthy landowner, estranged from Jody	Sturdy, tall, grim expression	Formal suit, dark, polished attire	ChatGPT	Honey in the Horn	2025-01-13
The Judge	50s	Male	Upper class	Authoritative, paternalistic	Minor character	Judge	Chapter 4	Steady, wise, paternal	Provides guidance to Jody during a period of inner conflict and moral questioning.	Respected elder figure to Jody	Gray hair, formal attire, glasses	Black robes, gray suit	ChatGPT	Honey in the Horn	2025-01-13
Katherine	30s	Female	Lower middle class	Strong-willed, nurturing	Supporting character	Farmer’s wife	Chapter 5	Protective, caring	Acts as a surrogate mother to Jody, showing him a different side of life.	No romantic relationship with Jody	Robust, stern features	Plain dresses, earth tones	ChatGPT	Honey in the Horn	2025-01-13
Caleb	20s	Male	Working class	Friendly, ambitious	Minor character	Farmer	Chapter 6	Optimistic, hardworking	Works alongside Jody in the rural community.	No romantic connection to Jody, friendly rival	Medium height, muscular build	Work clothes, simple shirt, brown pants	ChatGPT	Honey in the Horn	2025-01-13
Lucius Priest	11	Male	Upper class	Adventurous, curious, naive	Main character	Schoolboy	Chapter 1	Brave, inquisitive, optimistic	Embarks on a journey to Memphis with Boon, seeking adventure.	Grandson of the Priest family, has a protective relationship with his grandfather	Tall for his age, youthful features	Light-colored shirt, shorts, simple clothes	ChatGPT	The Reivers	2025-01-13
Boon Hogganbeck	40s	Male	Lower middle class	Impulsive, loyal, humorous	Supporting character	Stableman	Chapter 1	Headstrong, strong-willed, loyal	Embarks on a trip to Memphis with Lucius, driven by a desire for independence.	Works for the Priest family, loyal to Lucius	Short, stocky, rugged appearance	Old-fashioned work clothes, dark tones	ChatGPT	The Reivers	2025-01-13
Miss Reba	30s	Female	Working class	Flirtatious, independent, empathetic	Supporting character	Prostitute	Chapter 2	Kind, nurturing, emotional	Helps the characters when they get into trouble during their journey.	Works at a brothel, has a complex relationship with Boon	Attractive, long dark hair	Red dress, bright colors, fashionable attire	ChatGPT	The Reivers	2025-01-13
Grandfather (Judge Priest)	60s	Male	Upper class	Wise, reserved, compassionate	Minor character	Judge	Chapter 1	Observant, authoritative	Acts as a guiding figure to Lucius, supporting him through his coming-of-age journey.	Grandfather to Lucius Priest	Old, tall, with a graying beard	Formal suit, dark colors	ChatGPT	The Reivers	2025-01-13
Ned	30s	Male	Lower class	Sharp-witted, humorous	Supporting character	Chauffeur	Chapter 3	Playful, resourceful	Works as the chauffeur for the Priest family, accompanies Lucius and Boon on their journey.	Works for the Priest family, maintains a friendly rapport with Boon	Medium build, jovial expression	Old-fashioned suit, light shirt	ChatGPT	The Reivers	2025-01-13
Sam	50s	Male	Lower class	Dependable, protective	Minor character	Stableman	Chapter 1	Dependable, grounded	Works alongside Boon and helps Lucius understand some of life's complexities.	Works for the Priest family	Short, wiry, graying hair	Simple clothes, brown tones	ChatGPT	The Reivers	2025-01-13
Selina Peake	30s	Female	Lower middle class	Ambitious, resilient, independent	Main character	Schoolteacher, farmer's wife	Chapter 1	Determined, practical, hardworking	Struggles to provide for her son, takes on a variety of tasks to build a better life.	Wife of Pervus Peake, mother of Dirk	Slender, attractive, expressive eyes	Plain dress, earthy tones, simple clothing	ChatGPT	So Big	2025-01-13
Pervus Peake	40s	Male	Lower class	Stubborn, loving, hard-working	Supporting character	Farmer	Chapter 1	Reserved, proud, hardworking	Marries Selina, works tirelessly on the farm.	Married to Selina Peake, father of Dirk	Medium build, rugged, sun-tanned skin	Work clothes, denim, dark colors	ChatGPT	So Big	2025-01-13
Dirk Peake	10-12	Male	Lower middle class	Thoughtful, ambitious, sensitive	Supporting character	Student	Chapter 1	Shy, intelligent, curious	Becomes more educated, grapples with his own desires and relationships.	Son of Selina and Pervus Peake	Small, slender, fair hair	School clothes, neat shirt, trousers	ChatGPT	So Big	2025-01-13
Steve Cummings	40s	Male	Upper class	Charming, flirtatious, wealthy	Supporting character	Real estate investor	Chapter 2	Affectionate, selfish, manipulative	Has a romantic relationship with Selina, later becomes a complicated part of her life.	Has romantic involvement with Selina	Attractive, tall, striking appearance	Suit, rich fabrics, dark colors	ChatGPT	So Big	2025-01-13
Ruth Peake	20s	Female	Upper middle class	Refined, sophisticated	Supporting character	Young woman	Chapter 2	Polished, emotional, sensitive	Becomes involved with Dirk, later develops a complex relationship with Selina.	Daughter of a wealthy family, later marries	Delicate, beautiful, refined features	High-necked dresses, elegant fabrics	ChatGPT	So Big	2025-01-13
John Quincy Adams	58	Male	Upper-Class	Intellectual, Stubborn, Principled	Main Subject	U.S. Senator, Former President	Chapter 1	Independent, Idealistic	Opposed the gag rule on anti-slavery petitions	Son of John Adams, Married to Louisa Adams	Thin, Stern face, White hair	Dark suits, White cravat	ChatGPT	Profiles in Courage	2025-01-13
Daniel Webster	70	Male	Upper-Class	Eloquent, Ambitious, Nationalistic	Main Subject	U.S. Senator	Chapter 2	Charismatic, Persuasive	Supported the Compromise of 1850 despite opposition	Married to Grace Fletcher and Caroline LeRoy	Tall, Broad-shouldered, Deep-set eyes	Black coat, White shirt, Black cravat	ChatGPT	Profiles in Courage	2025-01-13
Thomas Hart Benton	65	Male	Middle-Class	Determined, Strong-willed, Expansionist	Main Subject	U.S. Senator	Chapter 3	Stubborn, Courageous	Opposed the extension of slavery despite being from Missouri	Married to Elizabeth McDowell	Stocky, Square-jawed	Blue coat, Brown waistcoat, White shirt	ChatGPT	Profiles in Courage	2025-01-13
Sam Houston	66	Male	Middle-Class	Brave, Independent-minded, Charismatic	Main Subject	U.S. Senator, Former Governor, Former President of Texas	Chapter 4	Defiant, Honest	Opposed Kansas-Nebraska Act despite Southern pressure	Married to Margaret Lea Houston	Tall, Rugged, Wavy hair	Buckskin jacket, Dark vest, White shirt	ChatGPT	Profiles in Courage	2025-01-13
Edmund G. Ross	39	Male	Middle-Class	Idealistic, Principled, Resolute	Main Subject	U.S. Senator	Chapter 5	Steadfast, Courageous	Cast the deciding vote against Andrew Johnson’s impeachment	Married to Fannie Ross	Lean, Dark hair, Mustache	Dark suit, White shirt, Black bowtie	ChatGPT	Profiles in Courage	2025-01-13
Lucius Lamar	54	Male	Upper-Class	Intellectual, Reconciliatory, Statesmanlike	Main Subject	U.S. Senator	Chapter 6	Diplomatic, Thoughtful	Advocated national reconciliation post-Civil War	Married to Virginia Longstreet	Tall, Balding, Deep-set eyes	Black suit, Gray vest, White shirt	ChatGPT	Profiles in Courage	2025-01-13
George Norris	62	Male	Middle-Class	Progressive, Stubborn, Honest	Main Subject	U.S. Senator	Chapter 7	Idealistic, Reformist	Opposed Speaker Joe Cannon’s autocratic rule and backed TVA	Married to Pluma Norris	Thin, Spectacled, White hair	Brown suit, White shirt, Dark tie	ChatGPT	Profiles in Courage	2025-01-13
Robert A. Taft	63	Male	Upper-Class	Intellectual, Conservative, Principled	Main Subject	U.S. Senator	Chapter 8	Pragmatic, Honest	Opposed the Nuremberg Trials on constitutional grounds	Son of President William H. Taft, Married to Martha Taft	Heavyset, Receding hairline, Round glasses	Gray suit, White shirt, Red tie	ChatGPT	Profiles in Courage	2025-01-13
Martin Arrowsmith	30	Male	Middle-Class	Intelligent, Idealistic, Obsessed with Science	Protagonist	Doctor, Research Scientist	Chapter 1	Curious, Perfectionist, Dedicated	Developed a phage to combat plague, Struggled between research and practical medicine	Married to Leora Tozer (first wife), Later married Joyce Lanyon	Tall, Lean, Sharp features	White lab coat, Dark suit, White shirt	ChatGPT	Arrowsmith	2025-01-13
Leora Tozer	25	Female	Middle-Class	Loyal, Supportive, Practical	Main Supporting Character	Nurse	Chapter 3	Devoted, Easygoing, Strong-willed	Supported Martin’s career, Died from plague	Married to Martin Arrowsmith	Petite, Round face, Dark eyes	White nurse’s uniform, Light blue dress	ChatGPT	Arrowsmith	2025-01-13
Gottlieb	60	Male	Middle-Class	Brilliant, Harsh, Devoted to Science	Mentor	Scientist, Bacteriologist	Chapter 5	Rigorous, Idealistic, Stern	Taught Martin scientific integrity, Criticized commercial medicine	Married, but little is mentioned about his family	Gaunt, Bald, Intense eyes	Black coat, Gray trousers, White lab coat	ChatGPT	Arrowsmith	2025-01-13
Terry Wickett	40	Male	Middle-Class	Independent, Honest, Nonconformist	Colleague	Scientist, Researcher	Chapter 15	Blunt, Anti-authoritarian, Dedicated	Encouraged Martin to pursue pure science over corporate research	Unmarried, Close to Martin Arrowsmith	Tall, Rugged, Unkempt hair	Brown jacket, White shirt, Dark pants	ChatGPT	Arrowsmith	2025-01-13
Joyce Lanyon	35	Female	Upper-Class	Charming, Social, Wealthy	Main Supporting Character	Socialite, Philanthropist	Chapter 20	Ambitious, Sophisticated, Practical	Encouraged Martin to work in a lucrative medical career	Married Martin Arrowsmith after Leora’s death	Elegant, Graceful, Stylish	Red evening dress, Fur coat, White gloves	ChatGPT	Arrowsmith	2025-01-13
Digger	50	Male	Lower-Class	Clever, Opportunistic, Witty	Minor Character	Journalist	Chapter 10	Sarcastic, Observant, Pragmatic	Exposed corruption in medicine	Acquaintance of Martin Arrowsmith	Short, Scruffy, Quick movements	Brown trench coat, Checkered vest, White shirt	ChatGPT	Arrowsmith	2025-01-13
Angus Duer	32	Male	Upper-Class	Ambitious, Competitive, Cunning	Antagonistic Rival	Surgeon, Administrator	Chapter 4	Cold, Ruthless, Arrogant	Chose prestige over scientific integrity	Married to an influential woman	Tall, Handsome, Polished appearance	Black suit, White gloves, Silk tie	ChatGPT	Arrowsmith	2025-01-13
George Apley	65	Male	Upper-Class	Conservative, Reflective, Dutiful	Protagonist	Businessman, Social Leader	Chapter 1	Reserved, Loyal, Traditional	Maintained family legacy, Struggled with change	Married to Catherine Lambert; Father to John and Eleanor	Aquiline nose, Graying hair, Distinguished appearance	Dark suits, White shirts, Black tie	ChatGPT	The Late George Apley	2025-01-13
Catherine Lambert Apley	60	Female	Upper-Class	Loyal, Refined, Practical	Main Supporting Character	Homemaker	Chapter 3	Dedicated, Dutiful, Maternal	Supported George’s traditional values	Wife of George Apley, Mother to John and Eleanor	Elegant, Slender, Well-dressed	Gray dresses, Pearl necklaces, White gloves	ChatGPT	The Late George Apley	2025-01-13
John Apley	30	Male	Upper-Class	Idealistic, Rebellious, Intelligent	Supporting Character	Writer	Chapter 5	Independent, Creative, Determined	Challenged George’s traditionalism	Son of George and Catherine Apley	Tall, Energetic, Youthful appearance	Tweed jacket, White shirt, Dark trousers	ChatGPT	The Late George Apley	2025-01-13
